Company,Stock Abbreviation
ICBC,1398.HK
China Construction Bank,CICHY
JPMorgan Chase,JPM
Berkshire Hathaway,BRK-A
Agricultural Bank of China,ACGBY
Saudi Arabian Oil Company,2222.SR
Ping An Insurance Group,2318.HK
Bank of America,BAC
Apple,AAPL
Bank of China,BACHF
AT&T,T
Toyota Motor,TM
Alphabet,GOOG
ExxonMobil,XOM
Microsoft,MSFT
Samsung Electronics,005930.KS
Wells Fargo,WFC
Citigroup,C
Walmart,WMT
Verizon Communications,VZ
Royal Dutch Shell,RDS-A
Amazon,AMZN
Volkswagen Group,VLKAF
UnitedHealth Group,UNH
Allianz,ALV.DE
China Merchants Bank,CIHKY
Comcast,CCZ
China Mobile,CHL
Total,TOT
Postal Savings Bank Of China (PSBC),1658.HK
Alibaba,BABA
Gazprom,OGZPY
PetroChina,PTR
Johnson & Johnson,JNJ
RBC,RBC
Walt Disney,DIS
China Life Insurance,LFC
Intel,INTC
Facebook,FB
CVS Health,CVS
Nestlé,NSRGY
BNP Paribas,BNPQY
Nippon Telegraph & Tel,NTTYY
HSBC Holdings,HSBC
Bank of Communications,BCMXY
TD Bank Group,TD
Goldman Sachs Group,GS
Morgan Stanley,MS
Pfizer,PFE
Tencent Holdings,TME
IBM,IBM
Mitsubishi UFJ Financial,MUFG
General Electric,GE
Rosneft,OJSCY
Santander,SAN
Anheuser-Busch InBev,BUD
Industrial Bank, 601166.SS
Reliance Industries,RS
Sony,SNE
Sinopec,SHI
Chevron,CVX
Siemens,SIEGY
Cigna,SI
AXA Group,AXAHY
Shanghai Pudong Development,600000.SS
AIA Group,AAAGIY
Softbank,SFTBY
Novartis,NVS
Deutsche Telekom,DTEGY
Petrobras,PBR
Procter & Gamble,PG
Japan Post Holdings,6178.T
LVMH Moet Hennessy Louis Vuitton,LVMUY
Roche Holding,RHHBY
BMW Group,BMWYY
Zurich Insurance Group,ZURVY
CITIC,0267.HK
Itaú Unibanco Holding,ITUB
China State Construction Engineering ,CCOHY
MetLife,MET
Sumitomo Mitsui Financial,SMFG
Cisco Systems,CSCO
Honda Motor,HMC
Commonwealth Bank,CMWAY
Bank of Nova Scotia,BNS
Raytheon Technologies,RTX
PepsiCo,PEP
American Express,AXP
General Motors,GM
China Minsheng Bank,1988.HK
British American Tobacco,BTI
Merck & Co.,MRK
BHP Group,BHP
Oracle,ORCL
Brookfield Asset Management,BAM
Coca-Cola,KO
Enel,ENIA
GlaxoSmithKline,GSK
LukOil,LUKOY
China Vanke,CHVKF
